model_id,metric,n_runs,mean,std,ci_low,ci_high,confidence,experimental_unit
logistic_regression,run_accuracy,11,0.3128787878787879,0.31528043373152637,0.12656338164384193,0.4991941941137339,0.95,run_id
decision_tree,run_accuracy,11,0.5786931818181817,0.3424791418388819,0.3763046615935396,0.7810817020428239,0.95,run_id
random_forest,run_accuracy,11,0.6350378787878787,0.26657887256254414,0.477502727153831,0.7925730304219263,0.95,run_id
gradient_boosting,run_accuracy,11,0.6135416666666667,0.2782018464372786,0.44913790262461484,0.7779454307087185,0.95,run_id
svm,run_accuracy,11,0.2865530303030303,0.30558653137297404,0.10596624900861443,0.4671398115974462,0.95,run_id
xgboost,run_accuracy,11,0.6299242424242425,0.2875739982174285,0.4599819923887936,0.7998664924596914,0.95,run_id
