run_id,logistic_regression,decision_tree,random_forest,gradient_boosting,svm,xgboost
braatz_te_fault10,0.23125,0.07083333333333333,0.17604166666666668,0.290625,0.04583333333333333,0.234375
braatz_te_fault14,0.0,0.8020833333333334,0.7947916666666667,0.790625,0.0,0.809375
braatz_te_fault18,0.18333333333333332,0.6552083333333333,0.675,0.6822916666666666,0.125,0.6854166666666667
braatz_tr_fault02,0.9666666666666667,0.9291666666666667,0.9520833333333333,0.95625,0.9604166666666667,0.95
braatz_tr_fault03,0.20416666666666666,0.0,0.18125,0.22708333333333333,0.3729166666666667,0.23125
braatz_tr_fault06,0.5333333333333333,0.9979166666666667,1.0,1.0,0.32083333333333336,1.0
braatz_tr_fault11,0.13333333333333333,0.6895833333333333,0.7854166666666667,0.8020833333333334,0.09583333333333334,0.7916666666666666
braatz_tr_fault13,0.058333333333333334,0.37083333333333335,0.55,0.33125,0.05416666666666667,0.42916666666666664
braatz_tr_fault15,0.19375,0.9354166666666667,0.5854166666666667,0.30833333333333335,0.22708333333333333,0.27708333333333335
braatz_tr_fault19,0.13333333333333333,0.375,0.6625,0.6895833333333333,0.21041666666666667,0.8375
braatz_tr_fault20,0.8041666666666667,0.5395833333333333,0.6229166666666667,0.6708333333333333,0.7395833333333334,0.6833333333333333
