experiment_id,model_id,mod_code,class_label,precision,recall,f1,support,tp,fp,fn
exp-a4-v2,random_forest,MOD-3,14,0.990909090909091,0.7947916666666667,0.8820809248554914,960,763,7,197
exp-a4-v2,random_forest,MOD-3,15,0.23338870431893688,0.5854166666666667,0.333729216152019,480,281,923,199
exp-a4-v2,random_forest,MOD-3,16,0.0,0.0,0.0,0,0,308,0
exp-a4-v2,random_forest,MOD-3,17,0.0,0.0,0.0,0,0,49,0
exp-a4-v2,random_forest,MOD-3,18,1.0,0.675,0.8059701492537313,960,648,0,312
exp-a4-v2,random_forest,MOD-3,19,0.8195876288659794,0.6625,0.7327188940092166,480,318,70,162
exp-a4-v2,random_forest,MOD-3,20,0.887240356083086,0.6229166666666667,0.7319461444308445,480,299,38,181
exp-a4-v2,gradient_boosting,MOD-4,0,0.0,0.0,0.0,0,0,161,0
exp-a4-v2,gradient_boosting,MOD-4,1,0.0,0.0,0.0,0,0,7,0
exp-a4-v2,gradient_boosting,MOD-4,2,0.9828693790149893,0.95625,0.969376979936642,480,459,8,21
exp-a4-v2,gradient_boosting,MOD-4,3,0.22520661157024793,0.22708333333333333,0.22614107883817425,480,109,375,371
exp-a4-v2,gradient_boosting,MOD-4,4,0.0,0.0,0.0,0,0,34,0
exp-a4-v2,gradient_boosting,MOD-4,5,0.0,0.0,0.0,0,0,14,0
exp-a4-v2,gradient_boosting,MOD-4,6,0.9561752988047809,1.0,0.9775967413441955,480,480,22,0
exp-a4-v2,gradient_boosting,MOD-4,7,0.0,0.0,0.0,0,0,1,0
exp-a4-v2,gradient_boosting,MOD-4,8,0.0,0.0,0.0,0,0,191,0
exp-a4-v2,gradient_boosting,MOD-4,9,0.0,0.0,0.0,0,0,504,0
exp-a4-v2,gradient_boosting,MOD-4,10,0.9147540983606557,0.290625,0.4411067193675889,960,279,26,681
exp-a4-v2,gradient_boosting,MOD-4,11,0.859375,0.8020833333333334,0.8297413793103448,480,385,63,95
exp-a4-v2,gradient_boosting,MOD-4,12,0.0,0.0,0.0,0,0,162,0
exp-a4-v2,gradient_boosting,MOD-4,13,0.8983050847457628,0.33125,0.48401826484018257,480,159,18,321
exp-a4-v2,gradient_boosting,MOD-4,14,0.993455497382199,0.790625,0.8805104408352669,960,759,5,201
exp-a4-v2,gradient_boosting,MOD-4,15,0.20470262793914246,0.30833333333333335,0.2460515378221114,480,148,575,332
exp-a4-v2,gradient_boosting,MOD-4,16,0.0,0.0,0.0,0,0,184,0
exp-a4-v2,gradient_boosting,MOD-4,17,0.0,0.0,0.0,0,0,47,0
exp-a4-v2,gradient_boosting,MOD-4,18,1.0,0.6822916666666666,0.8111455108359134,960,655,0,305
exp-a4-v2,gradient_boosting,MOD-4,19,0.7355555555555555,0.6895833333333333,0.7118279569892473,480,331,119,149
exp-a4-v2,gradient_boosting,MOD-4,20,0.7318181818181818,0.6708333333333333,0.7,480,322,118,158
exp-a4-v2,svm,MOD-5,0,0.0,0.0,0.0,0,0,0,0
exp-a4-v2,svm,MOD-5,1,0.0,0.0,0.0,0,0,0,0
exp-a4-v2,svm,MOD-5,2,0.9892703862660944,0.9604166666666667,0.974630021141649,480,461,5,19
exp-a4-v2,svm,MOD-5,3,0.18704284221525602,0.3729166666666667,0.2491301322199026,480,179,778,301
exp-a4-v2,svm,MOD-5,4,0.0,0.0,0.0,0,0,546,0
exp-a4-v2,svm,MOD-5,5,0.0,0.0,0.0,0,0,471,0
